Week Number,Team,Started: Qtr,Started: Spot,Started: Time,Started: How,Ended: Spot,Ended: Time,Ended: How,Plays - Yds.,TOP
12,MER,2nd,MER23,01:48,KO,MER36,00:43,PUNT,5-13,01:05
12,CCS,2nd,CCS33,00:43,PUNT,MER35,00:03,INT,5-32,00:40
12,MER,2nd,CCS24,00:03,INT,CCS24,00:00,FGA,1-0,00:03
12,CCS,3rd,CCS25,15:00,KO,MER0,11:17,TD,8-75,03:43
12,MER,3rd,MER43,11:05,KO,MER41,09:10,PUNT,3-(-2),01:55
12,CCS,3rd,CCS32,09:10,PUNT,MER31,06:40,DOWNS,7-37,02:30
12,MER,3rd,MER31,06:40,DOWNS,CCS0,02:03,TD,8-69,04:37
12,CCS,3rd,CCS35,01:58,KO,MER50,14:09,PUNT,5-15,02:49
12,MER,4th,MER12,14:09,PUNT,MER12,14:00,FUMB,1-0,00:09
12,CCS,4th,MER12,14:00,FUMB,MER0,11:14,TD,6-12,02:46
12,MER,4th,MER16,11:09,KO,CCS19,06:10,DOWNS,10-65,04:59
12,CCS,4th,CCS19,06:10,DOWNS,MER11,01:49,FGA,8-70,04:21
12,MER,4th,MER20,01:49,FGA,CCS12,00:18,DOWNS,9-68,01:31
12,CCS,4th,CCS12,00:18,DOWNS,CCS11,00:00,HALF,1-(-1),00:18
